CRIM,INDUS,NOX,RM,AGE,DIS,LSTAT,CAT
5.66637,18.1,0.74,6.219,100,2.0048,16.59,0
9.96654,18.1,0.74,6.485,100,1.9784,18.85,0
12.8023,18.1,0.74,5.854,96.6,1.8956,23.79,0
10.6718,18.1,0.74,6.459,94.8,1.9879,23.98,0
6.28807,18.1,0.74,6.341,96.4,2.072,17.79,0
9.92485,18.1,0.74,6.251,96.6,2.198,16.44,0
9.32909,18.1,0.713,6.185,98.7,2.2616,18.13,0
7.52601,18.1,0.713,6.417,98.3,2.185,19.31,0
6.71772,18.1,0.713,6.749,92.6,2.3236,17.44,0
5.44114,18.1,0.713,6.655,98.2,2.3552,17.73,0
5.09017,18.1,0.713,6.297,91.8,2.3682,17.27,0
8.24809,18.1,0.713,7.393,99.3,2.4527,16.74,0
9.51363,18.1,0.713,6.728,94.1,2.4961,18.71,0
4.75237,18.1,0.713,6.525,86.5,2.4358,18.13,0
4.66883,18.1,0.713,5.976,87.9,2.5806,19.01,0
8.20058,18.1,0.713,5.936,80.3,2.7792,16.94,0
7.75223,18.1,0.713,6.301,83.7,2.7831,16.23,0
6.80117,18.1,0.713,6.081,84.4,2.7175,14.7,0
4.81213,18.1,0.713,6.701,90,2.5975,16.42,0
3.69311,18.1,0.713,6.376,88.4,2.5671,14.65,0
6.65492,18.1,0.713,6.317,83,2.7344,13.99,0
5.82115,18.1,0.713,6.513,89.9,2.8016,10.29,0
7.83932,18.1,0.655,6.209,65.4,2.9634,13.22,0
3.1636,18.1,0.655,5.759,48.2,3.0665,14.13,0
3.77498,18.1,0.655,5.952,84.7,2.8715,17.15,0
4.42228,18.1,0.584,6.003,94.5,2.5403,21.32,0
15.5757,18.1,0.58,5.926,71,2.9084,18.13,0
13.0751,18.1,0.58,5.713,56.7,2.8237,14.76,0
4.34879,18.1,0.58,6.167,84,3.0334,16.29,0
4.03841,18.1,0.532,6.229,90.7,3.0993,12.87,0
3.56868,18.1,0.58,6.437,75,2.8965,14.36,0
4.64689,18.1,0.614,6.98,67.6,2.5329,11.66,0
8.05579,18.1,0.584,5.427,95.4,2.4298,18.14,0
6.39312,18.1,0.584,6.162,97.4,2.206,24.1,0
4.87141,18.1,0.614,6.484,93.6,2.3053,18.68,0
15.0234,18.1,0.614,5.304,97.3,2.1007,24.91,0
10.233,18.1,0.614,6.185,96.7,2.1705,18.03,0
14.3337,18.1,0.614,6.229,88,1.9512,13.11,0
5.82401,18.1,0.532,6.242,64.7,3.4242,10.74,0
5.70818,18.1,0.532,6.75,74.9,3.3317,7.74,0
5.73116,18.1,0.532,7.061,77,3.4106,7.01,0
2.81838,18.1,0.532,5.762,40.3,4.0983,10.42,0
2.37857,18.1,0.583,5.871,41.9,3.724,13.34,0
3.67367,18.1,0.583,6.312,51.9,3.9917,10.58,0
5.69175,18.1,0.583,6.114,79.8,3.5459,14.98,0
4.83567,18.1,0.583,5.905,53.2,3.1523,11.45,0
0.15086,27.74,0.609,5.454,92.7,1.8209,18.06,0
0.18337,27.74,0.609,5.414,98.3,1.7554,23.97,0
0.20746,27.74,0.609,5.093,98,1.8226,29.68,0
0.10574,27.74,0.609,5.983,98.8,1.8681,18.07,0
0.11132,27.74,0.609,5.983,83.5,2.1099,13.35,0
0.17331,9.69,0.585,5.707,54,2.3817,12.01,0
0.27957,9.69,0.585,5.926,42.6,2.3817,13.59,0
0.17899,9.69,0.585,5.67,28.8,2.7986,17.6,0
0.2896,9.69,0.585,5.39,72.9,2.7986,21.14,0
0.26838,9.69,0.585,5.794,70.6,2.8927,14.1,0
0.23912,9.69,0.585,6.019,65.3,2.4091,12.92,0
0.17783,9.69,0.585,5.569,73.5,2.3999,15.1,0
0.22438,9.69,0.585,6.027,79.7,2.4982,14.33,0
0.06263,11.93,0.573,6.593,69.1,2.4786,9.67,0
0.04527,11.93,0.573,6.12,76.7,2.2875,9.08,0
0.06076,11.93,0.573,6.976,91,2.1675,5.64,0
0.10959,11.93,0.573,6.794,89.3,2.3889,6.48,0
0.04741,11.93,0.573,6.03,80.8,2.505,7.88,0
